Name,Sector,URL,URL2
CI Capital Holding (CICH),Finance Companies,https://www.marketwatch.com/investing/Stock/CICH?countryCode=EG,https://www.marketwatch.com/investing/stock/cich/download-data?countrycode=eg&mod=mw_quote_tab
Citadel Capital SAE (CCAP),Finance Companies,https://www.marketwatch.com/investing/Stock/CCAP?countryCode=EG,https://www.marketwatch.com/investing/stock/ccap/download-data?countrycode=eg&mod=mw_quote_tab
Cleopatra Hospital (CLHO),Healthcare Provision,https://www.marketwatch.com/investing/Stock/CLHO?countryCode=EG,https://www.marketwatch.com/investing/stock/clho/download-data?countrycode=eg&mod=mw_quote_tab
Commercial International Bank (Egypt) S.A.E. (COMI),Banking,https://www.marketwatch.com/investing/Stock/COMI?countryCode=EG,https://www.marketwatch.com/investing/stock/comi/download-data?countrycode=eg&mod=mw_quote_tab
Contact Financial Holding (CNFN),Consumer Finance,https://www.marketwatch.com/investing/Stock/CNFN?countryCode=EG,https://www.marketwatch.com/investing/stock/cnfn/download-data?countrycode=eg&mod=mw_quote_tab
Copper For Commercial Investment & Real Estate Development (COPR),Real Estate Developers,https://www.marketwatch.com/investing/Stock/COPR?countryCode=EG,https://www.marketwatch.com/investing/stock/copr/download-data?countrycode=eg&mod=mw_quote_tab
Credit Agricole Egypt (CIEB),Banking,https://www.marketwatch.com/investing/Stock/CIEB?countryCode=EG,https://www.marketwatch.com/investing/stock/cieb/download-data?countrycode=eg&mod=mw_quote_tab
Delta Construction & Rebuilding (DCRC),Real Estate Developers,https://www.marketwatch.com/investing/Stock/DCRC?countryCode=EG,https://www.marketwatch.com/investing/stock/dcrc/download-data?countrycode=eg&mod=mw_quote_tab
Delta for Printing & Packaging (DTPP),Containers/Packaging,https://www.marketwatch.com/investing/Stock/DTPP?countryCode=EG,https://www.marketwatch.com/investing/stock/dtpp/download-data?countrycode=eg&mod=mw_quote_tab
Delta Insurance Co. (DEIN),Full-Line Insurance,https://www.marketwatch.com/investing/Stock/DEIN?countryCode=EG,https://www.marketwatch.com/investing/stock/dein/download-data?countrycode=eg&mod=mw_quote_tab
Delta Sugar Co. (SUGR),Food Products,https://www.marketwatch.com/investing/Stock/SUGR?countryCode=EG,https://www.marketwatch.com/investing/stock/sugr/download-data?countrycode=eg&mod=mw_quote_tab
Development & Engineering Consultants (DAPH),Real Estate Developers,https://www.marketwatch.com/investing/Stock/DAPH?countryCode=EG,https://www.marketwatch.com/investing/stock/daph/download-data?countrycode=eg&mod=mw_quote_tab
Dice Sports & Casual Wear S.A.E. (DSCW),Clothing,https://www.marketwatch.com/investing/Stock/DSCW?countryCode=EG,https://www.marketwatch.com/investing/stock/dscw/download-data?countrycode=eg&mod=mw_quote_tab
East Delta Flour Mills (EDFM),Food Products,https://www.marketwatch.com/investing/Stock/EDFM?countryCode=EG,https://www.marketwatch.com/investing/stock/edfm/download-data?countrycode=eg&mod=mw_quote_tab
Eastern Co. SAE (EAST),Tobacco,https://www.marketwatch.com/investing/Stock/EAST?countryCode=EG,https://www.marketwatch.com/investing/stock/east/download-data?countrycode=eg&mod=mw_quote_tab
Edita Food Industries S.A.E. (EFID),Food Products,https://www.marketwatch.com/investing/Stock/EFID?countryCode=EG,https://www.marketwatch.com/investing/stock/efid/download-data?countrycode=eg&mod=mw_quote_tab
E-Finance for Digital & Financial Investements SAE (EFIH),Computer Services,https://www.marketwatch.com/investing/Stock/EFIH?countryCode=EG,https://www.marketwatch.com/investing/stock/efih/download-data?countrycode=eg&mod=mw_quote_tab
Egypt Aluminium Co. (EGAL),Aluminum,https://www.marketwatch.com/investing/Stock/EGAL?countryCode=EG,https://www.marketwatch.com/investing/stock/egal/download-data?countrycode=eg&mod=mw_quote_tab
Egypt for Poultry (EPCO),Farming,https://www.marketwatch.com/investing/Stock/EPCO?countryCode=EG,https://www.marketwatch.com/investing/stock/epco/download-data?countrycode=eg&mod=mw_quote_tab
Egypt Kuwait Holding Co. S.A.E. (EKHO),Diversified Holding Companies,https://www.marketwatch.com/investing/Stock/EKHO?countryCode=EG,https://www.marketwatch.com/investing/stock/ekho/download-data?countrycode=eg&mod=mw_quote_tab
Egypt Kuwait Holding Co. S.A.E. (EKHOA),Diversified Holding Companies,https://www.marketwatch.com/investing/Stock/EKHOA?countryCode=EG,https://www.marketwatch.com/investing/stock/ekhoa/download-data?countrycode=eg&mod=mw_quote_tab
